hero1_nick;hero2_nick;hero1_name;hero2_name
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
COLOSSUS II;PSYLOCKE;PETER RA;ELISABETH B
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
HAVOK;PSYLOCKE;ALEX SUMMERS ;ELISABETH B
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
COLOSSUS II;PSYLOCKE;PETER RA;ELISABETH B
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
PSYLOCKE;ROGUE ;ELISABETH B;
HAVOK;PSYLOCKE;ALEX SUMMERS ;ELISABETH B
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
ROGUE ;WOLVERINE;;LOGAN 
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
HAVOK;ROGUE ;ALEX SUMMERS ;
COLOSSUS II;ROGUE ;PETER RA;
ROGUE ;STORM;;ORORO MUNROE S
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
FURY, COL. NICHOLAS ;ROBERTSON, JOE;;
JAMESON, J. JONAH;ROBERTSON, JOE;;
ROBERTSON, JOE;SPIDER-MAN;;PETER PAR
FURY, COL. NICHOLAS ;SPIDER-MAN;;PETER PAR
JAMESON, J. JONAH;SPIDER-MAN;;PETER PAR
FURY, COL. NICHOLAS ;JAMESON, J. JONAH;;
HUMAN TORCH;MR. FANTASTIC;JOHNNY S;REED R
INVISIBLE WOMAN;MR. FANTASTIC;SUE ;REED R
MR. FANTASTIC;THING;REED R;BENJAMIN J. GR
HUMAN TORCH;THING;JOHNNY S;BENJAMIN J. GR
INVISIBLE WOMAN;THING;SUE ;BENJAMIN J. GR
HUMAN TORCH;INVISIBLE WOMAN;JOHNNY S;SUE 
HUMAN TORCH;MR. FANTASTIC;JOHNNY S;REED R
MR. FANTASTIC;THING;REED R;BENJAMIN J. GR
MR. FANTASTIC;RICHARDS, FRANKLIN B;REED R;
INVISIBLE WOMAN;MR. FANTASTIC;SUE ;REED R
HUMAN TORCH;INVISIBLE WOMAN;JOHNNY S;SUE 
INVISIBLE WOMAN;THING;SUE ;BENJAMIN J. GR
INVISIBLE WOMAN;RICHARDS, FRANKLIN B;SUE ;
HUMAN TORCH;RICHARDS, FRANKLIN B;JOHNNY S;
RICHARDS, FRANKLIN B;THING;;BENJAMIN J. GR
HUMAN TORCH;THING;JOHNNY S;BENJAMIN J. GR
HUMAN TORCH;MR. FANTASTIC;JOHNNY S;REED R
HUMAN TORCH;THING;JOHNNY S;BENJAMIN J. GR
HUMAN TORCH;RICHARDS, FRANKLIN B;JOHNNY S;
HUMAN TORCH;INVISIBLE WOMAN;JOHNNY S;SUE 
INVISIBLE WOMAN;MR. FANTASTIC;SUE ;REED R
INVISIBLE WOMAN;THING;SUE ;BENJAMIN J. GR
INVISIBLE WOMAN;RICHARDS, FRANKLIN B;SUE ;
MR. FANTASTIC;RICHARDS, FRANKLIN B;REED R;
RICHARDS, FRANKLIN B;THING;;BENJAMIN J. GR
MR. FANTASTIC;THING;REED R;BENJAMIN J. GR
INVISIBLE WOMAN;RICHARDS, FRANKLIN B;SUE ;
HUMAN TORCH;INVISIBLE WOMAN;JOHNNY S;SUE 
INVISIBLE WOMAN;THING;SUE ;BENJAMIN J. GR
INVISIBLE WOMAN;MR. FANTASTIC;SUE ;REED R
MR. FANTASTIC;RICHARDS, FRANKLIN B;REED R;
HUMAN TORCH;MR. FANTASTIC;JOHNNY S;REED R
MR. FANTASTIC;THING;REED R;BENJAMIN J. GR
RICHARDS, FRANKLIN B;THING;;BENJAMIN J. GR
HUMAN TORCH;THING;JOHNNY S;BENJAMIN J. GR
HUMAN TORCH;RICHARDS, FRANKLIN B;JOHNNY S;
INVISIBLE WOMAN;MR. FANTASTIC;SUE ;REED R
HUMAN TORCH;INVISIBLE WOMAN;JOHNNY S;SUE 
INVISIBLE WOMAN;THING;SUE ;BENJAMIN J. GR
INVISIBLE WOMAN;RICHARDS, FRANKLIN B;SUE ;
MR. FANTASTIC;RICHARDS, FRANKLIN B;REED R;
HUMAN TORCH;RICHARDS, FRANKLIN B;JOHNNY S;
RICHARDS, FRANKLIN B;THING;;BENJAMIN J. GR
MR. FANTASTIC;THING;REED R;BENJAMIN J. GR
HUMAN TORCH;THING;JOHNNY S;BENJAMIN J. GR
HUMAN TORCH;MR. FANTASTIC;JOHNNY S;REED R
HUMAN TORCH;RICHARDS, FRANKLIN B;JOHNNY S;
RICHARDS, FRANKLIN B;THING;;BENJAMIN J. GR
MR. FANTASTIC;RICHARDS, FRANKLIN B;REED R;
INVISIBLE WOMAN;RICHARDS, FRANKLIN B;SUE ;
HUMAN TORCH;INVISIBLE WOMAN;JOHNNY S;SUE 
INVISIBLE WOMAN;THING;SUE ;BENJAMIN J. GR
INVISIBLE WOMAN;MR. FANTASTIC;SUE ;REED R
HUMAN TORCH;MR. FANTASTIC;JOHNNY S;REED R
MR. FANTASTIC;THING;REED R;BENJAMIN J. GR
HUMAN TORCH;THING;JOHNNY S;BENJAMIN J. GR
HUMAN TORCH;INVISIBLE WOMAN;JOHNNY S;SUE 
INVISIBLE WOMAN;MR. FANTASTIC;SUE ;REED R
INVISIBLE WOMAN;THING;SUE ;BENJAMIN J. GR
HUMAN TORCH;THING;JOHNNY S;BENJAMIN J. GR
MR. FANTASTIC;THING;REED R;BENJAMIN J. GR
HUMAN TORCH;MR. FANTASTIC;JOHNNY S;REED R
MR. FANTASTIC;THING;REED R;BENJAMIN J. GR
HUMAN TORCH;MR. FANTASTIC;JOHNNY S;REED R
INVISIBLE WOMAN;MR. FANTASTIC;SUE ;REED R
INVISIBLE WOMAN;THING;SUE ;BENJAMIN J. GR
HUMAN TORCH;INVISIBLE WOMAN;JOHNNY S;SUE 
HUMAN TORCH;THING;JOHNNY S;BENJAMIN J. GR
HERCULES [GREEK GOD];PSYLOCKE;;ELISABETH B
PSYLOCKE;WONDER MAN;ELISABETH B;SIMON WIL
CYCLOPS;PSYLOCKE;SCOTT SUMMER;ELISABETH B
PROFESSOR X;PSYLOCKE;CHARLES ;ELISABETH B
HUMAN TORCH;PSYLOCKE;JOHNNY S;ELISABETH B
PSYLOCKE;ROGUE ;ELISABETH B;
PSYLOCKE;SCARLET WITCH;ELISABETH B;WANDA 
PSYLOCKE;QUASAR III;ELISABETH B;WENDELL V
HULK;PSYLOCKE;DR. ROBERT BRUC;ELISABETH B
MARVEL GIRL;PSYLOCKE;JEAN GRE;ELISABETH B
DR. STRANGE;PSYLOCKE;STEPHEN ;ELISABETH B
HAVOK;PSYLOCKE;ALEX SUMMERS ;ELISABETH B
ANGEL;PSYLOCKE;WARREN KENNETH;ELISABETH B
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
PSYLOCKE;SHE-HULK;ELISABETH B;JENNIFER WA
PSYLOCKE;VISION ;ELISABETH B;
NOVA;PSYLOCKE;RICHARD RIDER;ELISABETH B
PSYLOCKE;THING;ELISABETH B;BENJAMIN J. GR
COLOSSUS II;PSYLOCKE;PETER RA;ELISABETH B
CAPTAIN AMERICA;PSYLOCKE;;ELISABETH B
ICEMAN;PSYLOCKE;ROBERT BOBBY ;ELISABETH B
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
INVISIBLE WOMAN;PSYLOCKE;SUE ;ELISABETH B
PSYLOCKE;SILVER SURFER;ELISABETH B;NORRIN
HERCULES [GREEK GOD];SILVER SURFER;;NORRIN
SILVER SURFER;WONDER MAN;NORRIN;SIMON WIL
CYCLOPS;SILVER SURFER;SCOTT SUMMER;NORRIN
PROFESSOR X;SILVER SURFER;CHARLES ;NORRIN
HUMAN TORCH;SILVER SURFER;JOHNNY S;NORRIN
ROGUE ;SILVER SURFER;;NORRIN
SCARLET WITCH;SILVER SURFER;WANDA ;NORRIN
QUASAR III;SILVER SURFER;WENDELL V;NORRIN
HULK;SILVER SURFER;DR. ROBERT BRUC;NORRIN
MARVEL GIRL;SILVER SURFER;JEAN GRE;NORRIN
DR. STRANGE;SILVER SURFER;STEPHEN ;NORRIN
HAVOK;SILVER SURFER;ALEX SUMMERS ;NORRIN
ANGEL;SILVER SURFER;WARREN KENNETH;NORRIN
SILVER SURFER;STORM;NORRIN;ORORO MUNROE S
SHE-HULK;SILVER SURFER;JENNIFER WA;NORRIN
SILVER SURFER;VISION ;NORRIN;
NOVA;SILVER SURFER;RICHARD RIDER;NORRIN
SILVER SURFER;THING;NORRIN;BENJAMIN J. GR
COLOSSUS II;SILVER SURFER;PETER RA;NORRIN
CAPTAIN AMERICA;SILVER SURFER;;NORRIN
ICEMAN;SILVER SURFER;ROBERT BOBBY ;NORRIN
SILVER SURFER;WOLVERINE;NORRIN;LOGAN 
INVISIBLE WOMAN;SILVER SURFER;SUE ;NORRIN
HERCULES [GREEK GOD];INVISIBLE WOMAN;;SUE 
INVISIBLE WOMAN;WONDER MAN;SUE ;SIMON WIL
CYCLOPS;INVISIBLE WOMAN;SCOTT SUMMER;SUE 
INVISIBLE WOMAN;PROFESSOR X;SUE ;CHARLES 
HUMAN TORCH;INVISIBLE WOMAN;JOHNNY S;SUE 
INVISIBLE WOMAN;ROGUE ;SUE ;
INVISIBLE WOMAN;SCARLET WITCH;SUE ;WANDA 
INVISIBLE WOMAN;QUASAR III;SUE ;WENDELL V
HULK;INVISIBLE WOMAN;DR. ROBERT BRUC;SUE 
INVISIBLE WOMAN;MARVEL GIRL;SUE ;JEAN GRE
DR. STRANGE;INVISIBLE WOMAN;STEPHEN ;SUE 
HAVOK;INVISIBLE WOMAN;ALEX SUMMERS ;SUE 
ANGEL;INVISIBLE WOMAN;WARREN KENNETH;SUE 
INVISIBLE WOMAN;STORM;SUE ;ORORO MUNROE S
INVISIBLE WOMAN;SHE-HULK;SUE ;JENNIFER WA
INVISIBLE WOMAN;VISION ;SUE ;
INVISIBLE WOMAN;NOVA;SUE ;RICHARD RIDER
INVISIBLE WOMAN;THING;SUE ;BENJAMIN J. GR
COLOSSUS II;INVISIBLE WOMAN;PETER RA;SUE 
CAPTAIN AMERICA;INVISIBLE WOMAN;;SUE 
ICEMAN;INVISIBLE WOMAN;ROBERT BOBBY ;SUE 
INVISIBLE WOMAN;WOLVERINE;SUE ;LOGAN 
HERCULES [GREEK GOD];WOLVERINE;;LOGAN 
WOLVERINE;WONDER MAN;LOGAN ;SIMON WIL
CYCLOPS;WOLVERINE;SCOTT SUMMER;LOGAN 
PROFESSOR X;WOLVERINE;CHARLES ;LOGAN 
HUMAN TORCH;WOLVERINE;JOHNNY S;LOGAN 
ROGUE ;WOLVERINE;;LOGAN 
SCARLET WITCH;WOLVERINE;WANDA ;LOGAN 
QUASAR III;WOLVERINE;WENDELL V;LOGAN 
HULK;WOLVERINE;DR. ROBERT BRUC;LOGAN 
MARVEL GIRL;WOLVERINE;JEAN GRE;LOGAN 
DR. STRANGE;WOLVERINE;STEPHEN ;LOGAN 
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
ANGEL;WOLVERINE;WARREN KENNETH;LOGAN 
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
SHE-HULK;WOLVERINE;JENNIFER WA;LOGAN 
VISION ;WOLVERINE;;LOGAN 
NOVA;WOLVERINE;RICHARD RIDER;LOGAN 
THING;WOLVERINE;BENJAMIN J. GR;LOGAN 
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
CAPTAIN AMERICA;WOLVERINE;;LOGAN 
ICEMAN;WOLVERINE;ROBERT BOBBY ;LOGAN 
HERCULES [GREEK GOD];ICEMAN;;ROBERT BOBBY 
ICEMAN;WONDER MAN;ROBERT BOBBY ;SIMON WIL
CYCLOPS;ICEMAN;SCOTT SUMMER;ROBERT BOBBY 
ICEMAN;PROFESSOR X;ROBERT BOBBY ;CHARLES 
HUMAN TORCH;ICEMAN;JOHNNY S;ROBERT BOBBY 
ICEMAN;ROGUE ;ROBERT BOBBY ;
ICEMAN;SCARLET WITCH;ROBERT BOBBY ;WANDA 
ICEMAN;QUASAR III;ROBERT BOBBY ;WENDELL V
HULK;ICEMAN;DR. ROBERT BRUC;ROBERT BOBBY 
ICEMAN;MARVEL GIRL;ROBERT BOBBY ;JEAN GRE
DR. STRANGE;ICEMAN;STEPHEN ;ROBERT BOBBY 
HAVOK;ICEMAN;ALEX SUMMERS ;ROBERT BOBBY 
ANGEL;ICEMAN;WARREN KENNETH;ROBERT BOBBY 
ICEMAN;STORM;ROBERT BOBBY ;ORORO MUNROE S
ICEMAN;SHE-HULK;ROBERT BOBBY ;JENNIFER WA
ICEMAN;VISION ;ROBERT BOBBY ;
ICEMAN;NOVA;ROBERT BOBBY ;RICHARD RIDER
ICEMAN;THING;ROBERT BOBBY ;BENJAMIN J. GR
COLOSSUS II;ICEMAN;PETER RA;ROBERT BOBBY 
CAPTAIN AMERICA;ICEMAN;;ROBERT BOBBY 
CAPTAIN AMERICA;HERCULES [GREEK GOD];;
CAPTAIN AMERICA;WONDER MAN;;SIMON WIL
CAPTAIN AMERICA;CYCLOPS;;SCOTT SUMMER
CAPTAIN AMERICA;PROFESSOR X;;CHARLES 
CAPTAIN AMERICA;HUMAN TORCH;;JOHNNY S
CAPTAIN AMERICA;ROGUE ;;
CAPTAIN AMERICA;SCARLET WITCH;;WANDA 
CAPTAIN AMERICA;QUASAR III;;WENDELL V
CAPTAIN AMERICA;HULK;;DR. ROBERT BRUC
CAPTAIN AMERICA;MARVEL GIRL;;JEAN GRE
CAPTAIN AMERICA;DR. STRANGE;;STEPHEN 
CAPTAIN AMERICA;HAVOK;;ALEX SUMMERS 
ANGEL;CAPTAIN AMERICA;WARREN KENNETH;
CAPTAIN AMERICA;STORM;;ORORO MUNROE S
CAPTAIN AMERICA;SHE-HULK;;JENNIFER WA
CAPTAIN AMERICA;VISION ;;
CAPTAIN AMERICA;NOVA;;RICHARD RIDER
CAPTAIN AMERICA;THING;;BENJAMIN J. GR
CAPTAIN AMERICA;COLOSSUS II;;PETER RA
COLOSSUS II;HERCULES [GREEK GOD];PETER RA;
COLOSSUS II;WONDER MAN;PETER RA;SIMON WIL
COLOSSUS II;CYCLOPS;PETER RA;SCOTT SUMMER
COLOSSUS II;PROFESSOR X;PETER RA;CHARLES 
COLOSSUS II;HUMAN TORCH;PETER RA;JOHNNY S
COLOSSUS II;ROGUE ;PETER RA;
COLOSSUS II;SCARLET WITCH;PETER RA;WANDA 
COLOSSUS II;QUASAR III;PETER RA;WENDELL V
COLOSSUS II;HULK;PETER RA;DR. ROBERT BRUC
COLOSSUS II;MARVEL GIRL;PETER RA;JEAN GRE
COLOSSUS II;DR. STRANGE;PETER RA;STEPHEN 
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
ANGEL;COLOSSUS II;WARREN KENNETH;PETER RA
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
COLOSSUS II;SHE-HULK;PETER RA;JENNIFER WA
COLOSSUS II;VISION ;PETER RA;
COLOSSUS II;NOVA;PETER RA;RICHARD RIDER
COLOSSUS II;THING;PETER RA;BENJAMIN J. GR
HERCULES [GREEK GOD];THING;;BENJAMIN J. GR
THING;WONDER MAN;BENJAMIN J. GR;SIMON WIL
CYCLOPS;THING;SCOTT SUMMER;BENJAMIN J. GR
PROFESSOR X;THING;CHARLES ;BENJAMIN J. GR
HUMAN TORCH;THING;JOHNNY S;BENJAMIN J. GR
ROGUE ;THING;;BENJAMIN J. GR
SCARLET WITCH;THING;WANDA ;BENJAMIN J. GR
QUASAR III;THING;WENDELL V;BENJAMIN J. GR
HULK;THING;DR. ROBERT BRUC;BENJAMIN J. GR
MARVEL GIRL;THING;JEAN GRE;BENJAMIN J. GR
DR. STRANGE;THING;STEPHEN ;BENJAMIN J. GR
HAVOK;THING;ALEX SUMMERS ;BENJAMIN J. GR
ANGEL;THING;WARREN KENNETH;BENJAMIN J. GR
STORM;THING;ORORO MUNROE S;BENJAMIN J. GR
SHE-HULK;THING;JENNIFER WA;BENJAMIN J. GR
THING;VISION ;BENJAMIN J. GR;
NOVA;THING;RICHARD RIDER;BENJAMIN J. GR
HERCULES [GREEK GOD];NOVA;;RICHARD RIDER
NOVA;WONDER MAN;RICHARD RIDER;SIMON WIL
CYCLOPS;NOVA;SCOTT SUMMER;RICHARD RIDER
NOVA;PROFESSOR X;RICHARD RIDER;CHARLES 
HUMAN TORCH;NOVA;JOHNNY S;RICHARD RIDER
NOVA;ROGUE ;RICHARD RIDER;
NOVA;SCARLET WITCH;RICHARD RIDER;WANDA 
NOVA;QUASAR III;RICHARD RIDER;WENDELL V
HULK;NOVA;DR. ROBERT BRUC;RICHARD RIDER
MARVEL GIRL;NOVA;JEAN GRE;RICHARD RIDER
DR. STRANGE;NOVA;STEPHEN ;RICHARD RIDER
HAVOK;NOVA;ALEX SUMMERS ;RICHARD RIDER
ANGEL;NOVA;WARREN KENNETH;RICHARD RIDER
NOVA;STORM;RICHARD RIDER;ORORO MUNROE S
NOVA;SHE-HULK;RICHARD RIDER;JENNIFER WA
NOVA;VISION ;RICHARD RIDER;
HERCULES [GREEK GOD];VISION ;;
VISION ;WONDER MAN;;SIMON WIL
CYCLOPS;VISION ;SCOTT SUMMER;
PROFESSOR X;VISION ;CHARLES ;
HUMAN TORCH;VISION ;JOHNNY S;
ROGUE ;VISION ;;
SCARLET WITCH;VISION ;WANDA ;
QUASAR III;VISION ;WENDELL V;
HULK;VISION ;DR. ROBERT BRUC;
MARVEL GIRL;VISION ;JEAN GRE;
DR. STRANGE;VISION ;STEPHEN ;
HAVOK;VISION ;ALEX SUMMERS ;
ANGEL;VISION ;WARREN KENNETH;
STORM;VISION ;ORORO MUNROE S;
SHE-HULK;VISION ;JENNIFER WA;
HERCULES [GREEK GOD];SHE-HULK;;JENNIFER WA
SHE-HULK;WONDER MAN;JENNIFER WA;SIMON WIL
CYCLOPS;SHE-HULK;SCOTT SUMMER;JENNIFER WA
PROFESSOR X;SHE-HULK;CHARLES ;JENNIFER WA
HUMAN TORCH;SHE-HULK;JOHNNY S;JENNIFER WA
ROGUE ;SHE-HULK;;JENNIFER WA
SCARLET WITCH;SHE-HULK;WANDA ;JENNIFER WA
QUASAR III;SHE-HULK;WENDELL V;JENNIFER WA
HULK;SHE-HULK;DR. ROBERT BRUC;JENNIFER WA
MARVEL GIRL;SHE-HULK;JEAN GRE;JENNIFER WA
DR. STRANGE;SHE-HULK;STEPHEN ;JENNIFER WA
HAVOK;SHE-HULK;ALEX SUMMERS ;JENNIFER WA
ANGEL;SHE-HULK;WARREN KENNETH;JENNIFER WA
SHE-HULK;STORM;JENNIFER WA;ORORO MUNROE S
HERCULES [GREEK GOD];STORM;;ORORO MUNROE S
STORM;WONDER MAN;ORORO MUNROE S;SIMON WIL
CYCLOPS;STORM;SCOTT SUMMER;ORORO MUNROE S
PROFESSOR X;STORM;CHARLES ;ORORO MUNROE S
HUMAN TORCH;STORM;JOHNNY S;ORORO MUNROE S
ROGUE ;STORM;;ORORO MUNROE S
SCARLET WITCH;STORM;WANDA ;ORORO MUNROE S
QUASAR III;STORM;WENDELL V;ORORO MUNROE S
HULK;STORM;DR. ROBERT BRUC;ORORO MUNROE S
MARVEL GIRL;STORM;JEAN GRE;ORORO MUNROE S
DR. STRANGE;STORM;STEPHEN ;ORORO MUNROE S
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
ANGEL;STORM;WARREN KENNETH;ORORO MUNROE S
ANGEL;HERCULES [GREEK GOD];WARREN KENNETH;
ANGEL;WONDER MAN;WARREN KENNETH;SIMON WIL
ANGEL;CYCLOPS;WARREN KENNETH;SCOTT SUMMER
ANGEL;PROFESSOR X;WARREN KENNETH;CHARLES 
ANGEL;HUMAN TORCH;WARREN KENNETH;JOHNNY S
ANGEL;ROGUE ;WARREN KENNETH;
ANGEL;SCARLET WITCH;WARREN KENNETH;WANDA 
ANGEL;QUASAR III;WARREN KENNETH;WENDELL V
ANGEL;HULK;WARREN KENNETH;DR. ROBERT BRUC
ANGEL;MARVEL GIRL;WARREN KENNETH;JEAN GRE
ANGEL;DR. STRANGE;WARREN KENNETH;STEPHEN 
ANGEL;HAVOK;WARREN KENNETH;ALEX SUMMERS 
HAVOK;HERCULES [GREEK GOD];ALEX SUMMERS ;
HAVOK;WONDER MAN;ALEX SUMMERS ;SIMON WIL
CYCLOPS;HAVOK;SCOTT SUMMER;ALEX SUMMERS 
HAVOK;PROFESSOR X;ALEX SUMMERS ;CHARLES 
HAVOK;HUMAN TORCH;ALEX SUMMERS ;JOHNNY S
HAVOK;ROGUE ;ALEX SUMMERS ;
HAVOK;SCARLET WITCH;ALEX SUMMERS ;WANDA 
HAVOK;QUASAR III;ALEX SUMMERS ;WENDELL V
HAVOK;HULK;ALEX SUMMERS ;DR. ROBERT BRUC
HAVOK;MARVEL GIRL;ALEX SUMMERS ;JEAN GRE
DR. STRANGE;HAVOK;STEPHEN ;ALEX SUMMERS 
DR. STRANGE;HERCULES [GREEK GOD];STEPHEN ;
DR. STRANGE;WONDER MAN;STEPHEN ;SIMON WIL
CYCLOPS;DR. STRANGE;SCOTT SUMMER;STEPHEN 
DR. STRANGE;PROFESSOR X;STEPHEN ;CHARLES 
DR. STRANGE;HUMAN TORCH;STEPHEN ;JOHNNY S
DR. STRANGE;ROGUE ;STEPHEN ;
DR. STRANGE;SCARLET WITCH;STEPHEN ;WANDA 
DR. STRANGE;QUASAR III;STEPHEN ;WENDELL V
DR. STRANGE;HULK;STEPHEN ;DR. ROBERT BRUC
DR. STRANGE;MARVEL GIRL;STEPHEN ;JEAN GRE
HERCULES [GREEK GOD];MARVEL GIRL;;JEAN GRE
MARVEL GIRL;WONDER MAN;JEAN GRE;SIMON WIL
CYCLOPS;MARVEL GIRL;SCOTT SUMMER;JEAN GRE
MARVEL GIRL;PROFESSOR X;JEAN GRE;CHARLES 
HUMAN TORCH;MARVEL GIRL;JOHNNY S;JEAN GRE
MARVEL GIRL;ROGUE ;JEAN GRE;
MARVEL GIRL;SCARLET WITCH;JEAN GRE;WANDA 
MARVEL GIRL;QUASAR III;JEAN GRE;WENDELL V
HULK;MARVEL GIRL;DR. ROBERT BRUC;JEAN GRE
HERCULES [GREEK GOD];HULK;;DR. ROBERT BRUC
HULK;WONDER MAN;DR. ROBERT BRUC;SIMON WIL
CYCLOPS;HULK;SCOTT SUMMER;DR. ROBERT BRUC
HULK;PROFESSOR X;DR. ROBERT BRUC;CHARLES 
HULK;HUMAN TORCH;DR. ROBERT BRUC;JOHNNY S
HULK;ROGUE ;DR. ROBERT BRUC;
HULK;SCARLET WITCH;DR. ROBERT BRUC;WANDA 
HULK;QUASAR III;DR. ROBERT BRUC;WENDELL V
HERCULES [GREEK GOD];QUASAR III;;WENDELL V
QUASAR III;WONDER MAN;WENDELL V;SIMON WIL
CYCLOPS;QUASAR III;SCOTT SUMMER;WENDELL V
PROFESSOR X;QUASAR III;CHARLES ;WENDELL V
HUMAN TORCH;QUASAR III;JOHNNY S;WENDELL V
QUASAR III;ROGUE ;WENDELL V;
QUASAR III;SCARLET WITCH;WENDELL V;WANDA 
HERCULES [GREEK GOD];SCARLET WITCH;;WANDA 
SCARLET WITCH;WONDER MAN;WANDA ;SIMON WIL
CYCLOPS;SCARLET WITCH;SCOTT SUMMER;WANDA 
PROFESSOR X;SCARLET WITCH;CHARLES ;WANDA 
HUMAN TORCH;SCARLET WITCH;JOHNNY S;WANDA 
ROGUE ;SCARLET WITCH;;WANDA 
HERCULES [GREEK GOD];ROGUE ;;
ROGUE ;WONDER MAN;;SIMON WIL
CYCLOPS;ROGUE ;SCOTT SUMMER;
PROFESSOR X;ROGUE ;CHARLES ;
HUMAN TORCH;ROGUE ;JOHNNY S;
HERCULES [GREEK GOD];HUMAN TORCH;;JOHNNY S
HUMAN TORCH;WONDER MAN;JOHNNY S;SIMON WIL
CYCLOPS;HUMAN TORCH;SCOTT SUMMER;JOHNNY S
HUMAN TORCH;PROFESSOR X;JOHNNY S;CHARLES 
HERCULES [GREEK GOD];PROFESSOR X;;CHARLES 
PROFESSOR X;WONDER MAN;CHARLES ;SIMON WIL
CYCLOPS;PROFESSOR X;SCOTT SUMMER;CHARLES 
CYCLOPS;HERCULES [GREEK GOD];SCOTT SUMMER;
CYCLOPS;WONDER MAN;SCOTT SUMMER;SIMON WIL
HERCULES [GREEK GOD];WONDER MAN;;SIMON WIL
ANT-MAN;HERCULES [GREEK GOD];DR. HENRY J.;
ANT-MAN;BLACK KNIGHT V;DR. HENRY J.;DANE 
ANT-MAN;DAREDEVIL;DR. HENRY J.;MATT MURDO
ANT-MAN;CYCLOPS;DR. HENRY J.;SCOTT SUMMER
ANT-MAN;PROFESSOR X;DR. HENRY J.;CHARLES 
ANT-MAN;NOVA;DR. HENRY J.;RICHARD RIDER
ANT-MAN;HUMAN TORCH;DR. HENRY J.;JOHNNY S
ANT-MAN;WONDER MAN;DR. HENRY J.;SIMON WIL
ANT-MAN;HULK;DR. HENRY J.;DR. ROBERT BRUC
ANT-MAN;HAVOK;DR. HENRY J.;ALEX SUMMERS 
ANT-MAN;MARVEL GIRL;DR. HENRY J.;JEAN GRE
ANGEL;ANT-MAN;WARREN KENNETH;DR. HENRY J.
ANT-MAN;SCARLET WITCH;DR. HENRY J.;WANDA 
ANT-MAN;CAPTAIN AMERICA;DR. HENRY J.;
ANT-MAN;FIRESTAR;DR. HENRY J.;ANGELICA JO
ANT-MAN;COLOSSUS II;DR. HENRY J.;PETER RA
ANT-MAN;QUASAR III;DR. HENRY J.;WENDELL V
ANT-MAN;ROGUE ;DR. HENRY J.;
ANT-MAN;THING;DR. HENRY J.;BENJAMIN J. GR
ANT-MAN;BEAST;DR. HENRY J.;HENRY &HANK& P
ANT-MAN;SHE-HULK;DR. HENRY J.;JENNIFER WA
ANT-MAN;RICHARDS, FRANKLIN B;DR. HENRY J.;
ANT-MAN;BLACK WIDOW;DR. HENRY J.;NATASHA 
ANT-MAN;WASP;DR. HENRY J.;JANET VAN DYNE 
ANT-MAN;INVISIBLE WOMAN;DR. HENRY J.;SUE 
ANT-MAN;ICEMAN;DR. HENRY J.;ROBERT BOBBY 
ANT-MAN;PSYLOCKE;DR. HENRY J.;ELISABETH B
ANT-MAN;STORM;DR. HENRY J.;ORORO MUNROE S
ANT-MAN;WOLVERINE;DR. HENRY J.;LOGAN 
ANT-MAN;VISION ;DR. HENRY J.;
HERCULES [GREEK GOD];VISION ;;
BLACK KNIGHT V;VISION ;DANE ;
DAREDEVIL;VISION ;MATT MURDO;
CYCLOPS;VISION ;SCOTT SUMMER;
PROFESSOR X;VISION ;CHARLES ;
NOVA;VISION ;RICHARD RIDER;
HUMAN TORCH;VISION ;JOHNNY S;
VISION ;WONDER MAN;;SIMON WIL
HULK;VISION ;DR. ROBERT BRUC;
HAVOK;VISION ;ALEX SUMMERS ;
MARVEL GIRL;VISION ;JEAN GRE;
ANGEL;VISION ;WARREN KENNETH;
SCARLET WITCH;VISION ;WANDA ;
CAPTAIN AMERICA;VISION ;;
FIRESTAR;VISION ;ANGELICA JO;
COLOSSUS II;VISION ;PETER RA;
QUASAR III;VISION ;WENDELL V;
ROGUE ;VISION ;;
THING;VISION ;BENJAMIN J. GR;
